/Q2 (VDDL=0.4) X,/Q2 (VDDL=0.4) Y,/Q2 (VDDL=0.425) X,/Q2 (VDDL=0.425) Y,/Q2 (VDDL=0.45) X,/Q2 (VDDL=0.45) Y,/Q2 (VDDL=0.475) X,/Q2 (VDDL=0.475) Y,/Q2 (VDDL=0.5) X,/Q2 (VDDL=0.5) Y,/Q2 (VDDL=0.525) X,/Q2 (VDDL=0.525) Y,/Q2 (VDDL=0.55) X,/Q2 (VDDL=0.55) Y,/Q2 (VDDL=0.575) X,/Q2 (VDDL=0.575) Y,/Q2 (VDDL=0.6) X,/Q2 (VDDL=0.6) Y,/Q2 (VDDL=0.625) X,/Q2 (VDDL=0.625) Y,/Q2 (VDDL=0.65) X,/Q2 (VDDL=0.65) Y,/Q2 (VDDL=0.675) X,/Q2 (VDDL=0.675) Y,/Q2 (VDDL=0.7) X,/Q2 (VDDL=0.7) Y,/Q2 (VDDL=0.725) X,/Q2 (VDDL=0.725) Y,/Q2 (VDDL=0.75) X,/Q2 (VDDL=0.75) Y,/Q2 (VDDL=0.775) X,/Q2 (VDDL=0.775) Y,/Q2 (VDDL=0.8) X,/Q2 (VDDL=0.8) Y,/Q2 (VDDL=0.825) X,/Q2 (VDDL=0.825) Y,/Q2 (VDDL=0.85) X,/Q2 (VDDL=0.85) Y,/Q2 (VDDL=0.875) X,/Q2 (VDDL=0.875) Y,/Q2 (VDDL=0.9) X,/Q2 (VDDL=0.9) Y
0.18,0.8373416436027387,0.18,0.8143831525976873,0.18,0.7833920046252603,0.18,0.7397506922023327,0.18,0.6775161065983888,0.18,0.5986480990672963,0.18,0.5117019663224136,0.18,0.4234063177996391,0.18,0.3395343383415256,0.18,0.2672205379523726,0.18,0.213816743082502,0.18,0.17869821359557,0.18,0.1549835776933152,0.18,0.1378620727966498,0.18,0.1248593906522742,0.18,0.1146263932947435,0.18,0.1063593745027731,0.18,0.09954479017344595,0.18,0.09383666074584178,0.18,0.08899220179333105,0.18,0.08483545979494345
0.1980000000000001,0.828628241056905,0.1980000000000001,0.8012053561100858,0.1980000000000001,0.7623416424094988,0.1980000000000001,0.7054538490815327,0.1980000000000001,0.6297689312966721,0.1980000000000001,0.5436622086488536,0.1980000000000001,0.4542556756304886,0.1980000000000001,0.3669560380983472,0.1980000000000001,0.287969806878092,0.1980000000000001,0.2254408987427393,0.1980000000000001,0.1832806074838595,0.1980000000000001,0.1557715644081303,0.1980000000000001,0.1365854196349449,0.1980000000000001,0.1223729943497258,0.1980000000000001,0.1113905237993344,0.1980000000000001,0.1026422056476522,0.1980000000000001,0.09551203051532813,0.1980000000000001,0.08959519054193388,0.1980000000000001,0.08461316117859999,0.1980000000000001,0.08036730575916504,0.1980000000000001,0.07671182155816551
0.2160000000000001,0.8164497377210767,0.2160000000000001,0.7819749454319148,0.2160000000000001,0.73044668318054,0.2160000000000001,0.6585332020927565,0.2160000000000001,0.5740090542909296,0.2160000000000001,0.4844516060092183,0.2160000000000001,0.3950528554808311,0.2160000000000001,0.3111450855918982,0.2160000000000001,0.2402486546934319,0.2160000000000001,0.1897593251852106,0.2160000000000001,0.1573553758780974,0.2160000000000001,0.1356332135664702,0.2160000000000001,0.1200028018743994,0.2160000000000001,0.1081745088023265,0.2160000000000001,0.09890025836562084,0.2160000000000001,0.09143551540443016,0.2160000000000001,0.08530431651069807,0.2160000000000001,0.08018614174454688,0.2160000000000001,0.07585632716354561,0.2160000000000001,0.07215231754419604,0.2160000000000001,0.06895341665054396
0.2340000000000001,0.7982088715121674,0.2340000000000001,0.7517405418919024,0.2340000000000001,0.6839554180680965,0.2340000000000001,0.6016739850320966,0.2340000000000001,0.5128861594271897,0.2340000000000001,0.4226200452930407,0.2340000000000001,0.3355012405129043,0.2340000000000001,0.2579011643848856,0.2340000000000001,0.1985109650414242,0.2340000000000001,0.1599322342781842,0.2340000000000001,0.1350594035164195,0.2340000000000001,0.1177555413086633,0.2340000000000001,0.1049710980374961,0.2340000000000001,0.09512361011417467,0.2340000000000001,0.08730654044830766,0.2340000000000001,0.08095777599757439,0.2340000000000001,0.0757075434400537,0.2340000000000001,0.07130143238277163,0.2340000000000001,0.06755815532953728,0.2340000000000001,0.0643448331974396,0.2340000000000001,0.06156177468430164
0.2520000000000001,0.7682661464691347,0.2520000000000001,0.7046219582734918,0.2520000000000001,0.6251893783778129,0.2520000000000001,0.5381328258964448,0.2520000000000001,0.4482313054888104,0.2520000000000001,0.3595377087644613,0.2520000000000001,0.2772987239495444,0.2520000000000001,0.2097084626770608,0.2520000000000001,0.1637473108494595,0.2520000000000001,0.1349055051856435,0.2520000000000001,0.115620341368743,0.2520000000000001,0.1017579946965633,0.2520000000000001,0.09129083815756699,0.2520000000000001,0.08310794384704921,0.2520000000000001,0.076543215045274,0.2520000000000001,0.07116946626162299,0.2520000000000001,0.06669857782091558,0.2520000000000001,0.06292853521453833,0.2520000000000001,0.05971326168679918,0.2520000000000001,0.05694443570425303,0.2520000000000001,0.05454002346212714
0.2700000000000001,0.7183495286624006,0.2700000000000001,0.6424278755211694,0.2700000000000001,0.5582365865595663,0.2700000000000001,0.470065157554369,0.2700000000000001,0.3814546673337827,0.2700000000000001,0.2967257483387115,0.2700000000000001,0.222809347010983,0.2700000000000001,0.1688660009285172,0.2700000000000001,0.1351717791554507,0.2700000000000001,0.1135511771811161,0.2700000000000001,0.0984868806545857,0.2700000000000001,0.08736211018259053,0.2700000000000001,0.07880976133965949,0.2700000000000001,0.07203950369354079,0.2700000000000001,0.06655812174108459,0.2700000000000001,0.06203991118752954,0.2700000000000001,0.05826035463369404,0.2700000000000001,0.0550593873820132,0.2700000000000001,0.05231974693820447,0.2700000000000001,0.04995356613859205,0.2700000000000001,0.0478937324268539
0.2880000000000001,0.6502397438491614,0.2880000000000001,0.5704528625863666,0.2880000000000001,0.4856877203360654,0.2880000000000001,0.3989985644323997,0.2880000000000001,0.3139918066993647,0.2880000000000001,0.2363009741406336,0.2880000000000001,0.1751030537347829,0.2880000000000001,0.1358020974459337,0.2880000000000001,0.1114358201763161,0.2880000000000001,0.09506632818564299,0.2880000000000001,0.08326955080278671,0.2880000000000001,0.07436390653395186,0.2880000000000001,0.06741402102681232,0.2880000000000001,0.06185271654843263,0.2880000000000001,0.05731363630860344,0.2880000000000001,0.05354866888848238,0.2880000000000001,0.05038350308132656,0.2880000000000001,0.04769202433789809,0.2880000000000001,0.0453807545676943,0.2880000000000001,0.04337898038268394,0.2880000000000001,0.04163226572850262
0.3060000000000002,0.5709857919565836,0.3060000000000002,0.4918325611191762,0.3060000000000002,0.4092709129763696,0.3060000000000002,0.3263864203244714,0.3060000000000002,0.2477856756463556,0.3060000000000002,0.1815014091067931,0.3060000000000002,0.1364004790652403,0.3060000000000002,0.1090432045655032,0.3060000000000002,0.09133694669406167,0.3060000000000002,0.07890539640310702,0.3060000000000002,0.06969914700931817,0.3060000000000002,0.06262133990022115,0.3060000000000002,0.05702613707984287,0.3060000000000002,0.05250573536483743,0.3060000000000002,0.04878890938866639,0.3060000000000002,0.04568792122369861,0.3060000000000002,0.04306863383613665,0.3060000000000002,0.04083269264598791,0.3060000000000002,0.03890640129854796,0.3060000000000002,0.03723351008520975,0.3060000000000002,0.03577039211010106
0.3240000000000002,0.4842750238622843,0.3240000000000002,0.4085816366124632,0.3240000000000002,0.3305763526143575,0.3240000000000002,0.2541490845771714,0.3240000000000002,0.1860051342347943,0.3240000000000002,0.1362078946393228,0.3240000000000002,0.1059965066184539,0.3240000000000002,0.08704027831619812,0.3240000000000002,0.0741115695311079,0.3240000000000002,0.06472003376191932,0.3240000000000002,0.05760628816908033,0.3240000000000002,0.05204962481018684,0.3240000000000002,0.04760506692285341,0.3240000000000002,0.04398186523246883,0.3240000000000002,0.0409816152605904,0.3240000000000002,0.0384642184122848,0.3240000000000002,0.03632797431505209,0.3240000000000002,0.03449734658473771,0.3240000000000002,0.03291513374304163,0.3240000000000002,0.03153728864526921,0.3240000000000002,0.03032939303062039
0.3420000000000002,0.3925002274760679,0.3420000000000002,0.3225868125054141,0.3420000000000002,0.251712411810927,0.3420000000000002,0.1855170600992407,0.3420000000000002,0.1337130437474869,0.3420000000000002,0.1015130152698497,0.3420000000000002,0.08179657110541697,0.3420000000000002,0.06868176831889168,0.3420000000000002,0.05931725143794177,0.3420000000000002,0.05231575308811376,0.3420000000000002,0.04690368994725086,0.3420000000000002,0.04261277182003452,0.3420000000000002,0.03914157508408312,0.3420000000000002,0.03628677636658797,0.3420000000000002,0.03390613122371196,0.3420000000000002,0.03189718764448322,0.3420000000000002,0.03018437504492657,0.3420000000000002,0.02871082566132929,0.3420000000000002,0.02743300619438347,0.3420000000000002,0.02631708879915483,0.3420000000000002,0.02533643648938428
