/QB_1 (VDDL=0.4) X,/QB_1 (VDDL=0.4) Y,/QB_1 (VDDL=0.425) X,/QB_1 (VDDL=0.425) Y,/QB_1 (VDDL=0.45) X,/QB_1 (VDDL=0.45) Y,/QB_1 (VDDL=0.475) X,/QB_1 (VDDL=0.475) Y,/QB_1 (VDDL=0.5) X,/QB_1 (VDDL=0.5) Y,/QB_1 (VDDL=0.525) X,/QB_1 (VDDL=0.525) Y,/QB_1 (VDDL=0.55) X,/QB_1 (VDDL=0.55) Y,/QB_1 (VDDL=0.575) X,/QB_1 (VDDL=0.575) Y,/QB_1 (VDDL=0.6) X,/QB_1 (VDDL=0.6) Y,/QB_1 (VDDL=0.625) X,/QB_1 (VDDL=0.625) Y,/QB_1 (VDDL=0.65) X,/QB_1 (VDDL=0.65) Y,/QB_1 (VDDL=0.675) X,/QB_1 (VDDL=0.675) Y,/QB_1 (VDDL=0.7) X,/QB_1 (VDDL=0.7) Y,/QB_1 (VDDL=0.725) X,/QB_1 (VDDL=0.725) Y,/QB_1 (VDDL=0.75) X,/QB_1 (VDDL=0.75) Y,/QB_1 (VDDL=0.775) X,/QB_1 (VDDL=0.775) Y,/QB_1 (VDDL=0.8) X,/QB_1 (VDDL=0.8) Y,/QB_1 (VDDL=0.825) X,/QB_1 (VDDL=0.825) Y,/QB_1 (VDDL=0.85) X,/QB_1 (VDDL=0.85) Y,/QB_1 (VDDL=0.875) X,/QB_1 (VDDL=0.875) Y,/QB_1 (VDDL=0.9) X,/QB_1 (VDDL=0.9) Y
0.3600000000000002,0.559910681543933,0.3600000000000002,0.5599106816455736,0.3600000000000002,0.5599106816982778,0.3600000000000002,0.5599106817297809,0.3600000000000002,0.5599106817520344,0.3600000000000002,0.5599106817702126,0.3600000000000002,0.5599106817865904,0.3600000000000002,0.5599106818023736,0.3600000000000002,0.5599106818185767,0.3600000000000002,0.559910681835955,0.3600000000000002,0.5599106818555305,0.3600000000000002,0.5599106818786179,0.3600000000000002,0.5599106819068247,0.3600000000000002,0.5599106819420391,0.3600000000000002,0.5599106819875422,0.3600000000000002,0.5599106820459521,0.3600000000000002,0.5599106821173674,0.3600000000000002,0.5599106822028949,0.3600000000000002,0.5599106823032672,0.3600000000000002,0.5599106824189838,0.3600000000000002,0.5599106825505225
0.3780000000000002,0.4158141693028372,0.3780000000000002,0.4158141693531456,0.3780000000000002,0.4158141693895843,0.3780000000000002,0.415814169420603,0.3780000000000002,0.4158141694505452,0.3780000000000002,0.4158141694833619,0.3780000000000002,0.4158141695217469,0.3780000000000002,0.4158141695680236,0.3780000000000002,0.4158141696252943,0.3780000000000002,0.4158141696971409,0.3780000000000002,0.4158141697839947,0.3780000000000002,0.415814169887143,0.3780000000000002,0.4158141700076091,0.3780000000000002,0.415814170146126,0.3780000000000002,0.4158141703033187,0.3780000000000002,0.4158141704799572,0.3780000000000002,0.4158141706773545,0.3780000000000002,0.4158141708978391,0.3780000000000002,0.415814171145325,0.3780000000000002,0.4158141714258228,0.3780000000000002,0.4158141717477117
0.3960000000000002,0.2741769367569816,0.3960000000000002,0.2741769374135566,0.3960000000000002,0.2741769381292656,0.3960000000000002,0.2741769389174165,0.3960000000000002,0.2741769397864401,0.3960000000000002,0.2741769407445889,0.3960000000000002,0.2741769418002666,0.3960000000000002,0.274176942961919,0.3960000000000002,0.2741769442382888,0.3960000000000002,0.2741769456386403,0.3960000000000002,0.2741769471731832,0.3960000000000002,0.2741769488535168,0.3960000000000002,0.2741769506931947,0.3960000000000002,0.2741769527083607,0.3960000000000002,0.2741769549182795,0.3960000000000002,0.2741769573455564,0.3960000000000002,0.2741769600160294,0.3960000000000002,0.2741769629585394,0.3960000000000002,0.2741769662048189,0.3960000000000002,0.2741769697864079,0.3960000000000002,0.2741769737464845
0.4140000000000003,0.1477854731331611,0.4140000000000003,0.147785500984214,0.4140000000000003,0.1477855310907001,0.4140000000000003,0.1477855636077458,0.4140000000000003,0.1477855987277117,0.4140000000000003,0.1477856366519344,0.4140000000000003,0.1477856775940386,0.4140000000000003,0.1477857217818267,0.4140000000000003,0.1477857694586737,0.4140000000000003,0.1477858208849072,0.4140000000000003,0.1477858763390037,0.4140000000000003,0.1477859361185421,0.4140000000000003,0.1477860005409997,0.4140000000000003,0.1477860699446933,0.4140000000000003,0.1477861446878811,0.4140000000000003,0.1477862251574842,0.4140000000000003,0.1477863117614028,0.4140000000000003,0.1477864049359897,0.4140000000000003,0.1477865051467931,0.4140000000000003,0.1477866128907127,0.4140000000000003,0.147786728698321
0.4320000000000003,0.07017453658615694,0.4320000000000003,0.0701746870300762,0.4320000000000003,0.07017484828562411,0.4320000000000003,0.0701750210924121,0.4320000000000003,0.07017520623372797,0.4320000000000003,0.07017540454432968,0.4320000000000003,0.07017561690358289,0.4320000000000003,0.07017584424007273,0.4320000000000003,0.07017608753459544,0.4320000000000003,0.07017634782287552,0.4320000000000003,0.07017662619847664,0.4320000000000003,0.07017692381597686,0.4320000000000003,0.07017724189289858,0.4320000000000003,0.07017758171843956,0.4320000000000003,0.07017794465055094,0.4320000000000003,0.07017833212392098,0.4320000000000003,0.07017874565324786,0.4320000000000003,0.07017918683762336,0.4320000000000003,0.0701796573651617,0.4320000000000003,0.07018015901787787,0.4320000000000003,0.07018069367684084
0.4500000000000003,0.03879798251723428,0.4500000000000003,0.03879820701751949,0.4500000000000003,0.03879844686701486,0.4500000000000003,0.03879870310547964,0.4500000000000003,0.0387989767652679,0.4500000000000003,0.03879926896180125,0.4500000000000003,0.03879958086551748,0.4500000000000003,0.03879991370734381,0.4500000000000003,0.03880026878275792,0.4500000000000003,0.03880064745524407,0.4500000000000003,0.03880105115983937,0.4500000000000003,0.03880148140601912,0.4500000000000003,0.03880193978464098,0.4500000000000003,0.03880242796811227,0.4500000000000003,0.03880294771701084,0.4500000000000003,0.03880350088402736,0.4500000000000003,0.03880408941862826,0.4500000000000003,0.03880471537194087,0.4500000000000003,0.0388053809018662,0.4500000000000003,0.03880608827844571,0.4500000000000003,0.03880683988948961
0.4680000000000003,0.02307883160698969,0.4680000000000003,0.02307909006473847,0.4680000000000003,0.02307936576178033,0.4680000000000003,0.02307965980337349,0.4680000000000003,0.02307997335217311,0.4680000000000003,0.02308030760409011,0.4680000000000003,0.02308066382887698,0.4680000000000003,0.02308104335966305,0.4680000000000003,0.02308144759680595,0.4680000000000003,0.02308187801176338,0.4680000000000003,0.0230823361507928,0.4680000000000003,0.02308282363797924,0.4680000000000003,0.02308334218182307,0.4680000000000003,0.02308389357586191,0.4680000000000003,0.02308447970502182,0.4680000000000003,0.02308510254959998,0.4680000000000003,0.02308576418990719,0.4680000000000003,0.0230864668111156,0.4680000000000003,0.02308721270832352,0.4680000000000003,0.02308800429185041,0.4680000000000003,0.02308884409278171
0.4860000000000003,0.01408300953513946,0.4860000000000003,0.01408327612069103,0.4860000000000003,0.01408356023383659,0.4860000000000003,0.01408386297307982,0.4860000000000003,0.01408418549901239,0.4860000000000003,0.01408452901754259,0.4860000000000003,0.01408489478607524,0.4860000000000003,0.01408528413221513,0.4860000000000003,0.01408569844913596,0.4860000000000003,0.01408613919922598,0.4860000000000003,0.01408660791778227,0.4860000000000003,0.01408710621602566,0.4860000000000003,0.0140876357871373,0.4860000000000003,0.01408819840716932,0.4860000000000003,0.01408879594088948,0.4860000000000003,0.0140894303456071,0.4860000000000003,0.01409010367557452,0.4860000000000003,0.01409081808658097,0.4860000000000003,0.01409157584074429,0.4860000000000003,0.01409237931151477,0.4860000000000003,0.01409323098890103
0.5040000000000003,0.00865514375870881,0.5040000000000003,0.0086554036733987,0.5040000000000003,0.008655680528855882,0.5040000000000003,0.008655975375953324,0.5040000000000003,0.008656289313801873,0.5040000000000003,0.008656623510392356,0.5040000000000003,0.008656979163569242,0.5040000000000003,0.008657357537379813,0.5040000000000003,0.008657759960921009,0.5040000000000003,0.00865818782851311,0.5040000000000003,0.008658642603102834,0.5040000000000003,0.008659125819178527,0.5040000000000003,0.008659639088232704,0.5040000000000003,0.008660184099855289,0.5040000000000003,0.008660762627017225,0.5040000000000003,0.008661376529650128,0.5040000000000003,0.008662027758727733,0.5040000000000003,0.008662718360520528,0.5040000000000003,0.008663450481031633,0.5040000000000003,0.008664226370623617,0.5040000000000003,0.008665048388849107
0.5220000000000004,0.005330333974729923,0.5220000000000004,0.005330580008807796,0.5220000000000004,0.005330841991427085,0.5220000000000004,0.005331120905594467,0.5220000000000004,0.005331417779167951,0.5220000000000004,0.005331733690505048,0.5220000000000004,0.005332069784279638,0.5220000000000004,0.005332427228890661,0.5220000000000004,0.005332807265224533,0.5220000000000004,0.005333211194863373,0.5220000000000004,0.005333640382986767,0.5220000000000004,0.005334096261077675,0.5220000000000004,0.005334580331763448,0.5220000000000004,0.005335094170094473,0.5220000000000004,0.005335639428243946,0.5220000000000004,0.005336217838829924,0.5220000000000004,0.005336831218661604,0.5220000000000004,0.005337481472642405,0.5220000000000004,0.005338170597834813,0.5220000000000004,0.005338900687700692,0.5220000000000004,0.005339673936523596
