/QB1 (VDDL=0.4) X,/QB1 (VDDL=0.4) Y,/QB1 (VDDL=0.425) X,/QB1 (VDDL=0.425) Y,/QB1 (VDDL=0.45) X,/QB1 (VDDL=0.45) Y,/QB1 (VDDL=0.475) X,/QB1 (VDDL=0.475) Y,/QB1 (VDDL=0.5) X,/QB1 (VDDL=0.5) Y,/QB1 (VDDL=0.525) X,/QB1 (VDDL=0.525) Y,/QB1 (VDDL=0.55) X,/QB1 (VDDL=0.55) Y,/QB1 (VDDL=0.575) X,/QB1 (VDDL=0.575) Y,/QB1 (VDDL=0.6) X,/QB1 (VDDL=0.6) Y,/QB1 (VDDL=0.625) X,/QB1 (VDDL=0.625) Y,/QB1 (VDDL=0.65) X,/QB1 (VDDL=0.65) Y,/QB1 (VDDL=0.675) X,/QB1 (VDDL=0.675) Y,/QB1 (VDDL=0.7) X,/QB1 (VDDL=0.7) Y,/QB1 (VDDL=0.725) X,/QB1 (VDDL=0.725) Y,/QB1 (VDDL=0.75) X,/QB1 (VDDL=0.75) Y,/QB1 (VDDL=0.775) X,/QB1 (VDDL=0.775) Y,/QB1 (VDDL=0.8) X,/QB1 (VDDL=0.8) Y,/QB1 (VDDL=0.825) X,/QB1 (VDDL=0.825) Y,/QB1 (VDDL=0.85) X,/QB1 (VDDL=0.85) Y,/QB1 (VDDL=0.875) X,/QB1 (VDDL=0.875) Y,/QB1 (VDDL=0.9) X,/QB1 (VDDL=0.9) Y
0.18,0.007895971155221828,0.18,0.0161576102018932,0.18,0.03589115274408297,0.18,0.09057780060110032,0.18,0.1832109732116258,0.18,0.2845970923141381,0.18,0.3875291538300948,0.18,0.4866499813562551,0.18,0.5607333287987363,0.18,0.6044214524363843,0.18,0.6378535052818649,0.18,0.6672496728739211,0.18,0.6947243819974216,0.18,0.721182092427975,0.18,0.7470846672977789,0.18,0.7726662705680856,0.18,0.7980549898467828,0.18,0.8233232821857727,0.18,0.8485134927124152,0.18,0.873651199069906,0.18,0.89875236890861
0.1980000000000001,0.00335229675640749,0.1980000000000001,0.006484437081463824,0.1980000000000001,0.01328253296262902,0.1980000000000001,0.02893976793521692,0.1980000000000001,0.0717212941392633,0.1980000000000001,0.1594572534742093,0.1980000000000001,0.2609528689998408,0.1980000000000001,0.3655289018322193,0.1980000000000001,0.4688130190247202,0.1980000000000001,0.5616999693565704,0.1980000000000001,0.6194101916649163,0.1980000000000001,0.6573674828259388,0.1980000000000001,0.688769602160474,0.1980000000000001,0.7173094236431715,0.1980000000000001,0.7443810165503177,0.1980000000000001,0.7706667292404306,0.1980000000000001,0.7964997426811181,0.1980000000000001,0.8220602528931259,0.1980000000000001,0.8474498146388164,0.1980000000000001,0.8727278419697135,0.1980000000000001,0.8979303659385329
0.2160000000000001,0.001496427349261443,0.2160000000000001,0.0027407204525845,0.2160000000000001,0.005362686015834866,0.2160000000000001,0.01098443988747127,0.2160000000000001,0.02356219913366012,0.2160000000000001,0.05607189541918837,0.2160000000000001,0.1353735877765189,0.2160000000000001,0.2361268026508512,0.2160000000000001,0.341720708658394,0.2160000000000001,0.447470650973119,0.2160000000000001,0.549073375847227,0.2160000000000001,0.6280977020659572,0.2160000000000001,0.6742603363067839,0.2160000000000001,0.7087642154175006,0.2160000000000001,0.7388530178707141,0.2160000000000001,0.7667927499612661,0.2160000000000001,0.7936167587211733,0.2160000000000001,0.8198031219361149,0.2160000000000001,0.8456059391942825,0.2160000000000001,0.871167396711312,0.2160000000000001,0.8965705923973247
0.2340000000000001,0.0007055460497042273,0.2340000000000001,0.001213585833466116,0.2340000000000001,0.002266914341387643,0.2340000000000001,0.004474869014560919,0.2340000000000001,0.009153264401104193,0.2340000000000001,0.01939707091937342,0.2340000000000001,0.04432125389867936,0.2340000000000001,0.1116004792474763,0.2340000000000001,0.2104586284197187,0.2340000000000001,0.316475109006528,0.2340000000000001,0.4239133538362012,0.2340000000000001,0.5292974860030398,0.2340000000000001,0.6252307202013021,0.2340000000000001,0.6869590561823568,0.2340000000000001,0.7265613965833626,0.2340000000000001,0.7589090273862237,0.2340000000000001,0.7881216899344563,0.2340000000000001,0.8156990148221719,0.2340000000000001,0.8423780969118947,0.2340000000000001,0.8685191784147791,0.2340000000000001,0.8943214323802989
0.2520000000000001,0.0003555964441059361,0.2520000000000001,0.0005664805244158296,0.2520000000000001,0.001000896460871381,0.2520000000000001,0.001900487580749617,0.2520000000000001,0.003775771538931696,0.2520000000000001,0.007709531523694625,0.2520000000000001,0.01614564270469994,0.2520000000000001,0.03563363666026346,0.2520000000000001,0.08931343037499204,0.2520000000000001,0.1843261096571085,0.2520000000000001,0.2900707297763933,0.2520000000000001,0.3985988019651444,0.2520000000000001,0.5063754316386162,0.2520000000000001,0.6097566161533237,0.2520000000000001,0.692381241923827,0.2520000000000001,0.7411277572597165,0.2520000000000001,0.7769750150927439,0.2520000000000001,0.8079893006888795,0.2520000000000001,0.8366188247925977,0.2520000000000001,0.8639798684703317,0.2520000000000001,0.8905881217952106
0.2700000000000001,0.0001917832167152719,0.2700000000000001,0.0002824680151948338,0.2700000000000001,0.0004649239073662573,0.2700000000000001,0.0008410714365210672,0.2700000000000001,0.001618335865532289,0.2700000000000001,0.003229232715046236,0.2700000000000001,0.006575334671658683,0.2700000000000001,0.01361993243716039,0.2700000000000001,0.02923361558505283,0.2700000000000001,0.07015789048996077,0.2700000000000001,0.1581766577090886,0.2700000000000001,0.262824238463949,0.2700000000000001,0.3718409659452892,0.2700000000000001,0.4812813348682774,0.2700000000000001,0.5882383009090962,0.2700000000000001,0.6858216324965775,0.2700000000000001,0.7507365884671707,0.2700000000000001,0.792261354928908,0.2700000000000001,0.8259188919876698,0.2700000000000001,0.8560204195911324,0.2700000000000001,0.8843196638048635
0.2880000000000001,0.0001106409024707925,0.2880000000000001,0.0001511031946440959,0.2880000000000001,0.000230383094127159,0.2880000000000001,0.0003908633604285454,0.2880000000000001,0.0007200707799750379,0.2880000000000001,0.001402947706698259,0.2880000000000001,0.002806559998478877,0.2880000000000001,0.005694009530146707,0.2880000000000001,0.01166507099131519,0.2880000000000001,0.02445780592952256,0.2880000000000001,0.05557897332809123,0.2880000000000001,0.1325874430391082,0.2880000000000001,0.2350707202541041,0.2880000000000001,0.3439395263584598,0.2880000000000001,0.4544253006587829,0.2880000000000001,0.5637064167375276,0.2880000000000001,0.6680230174436769,0.2880000000000001,0.7523363400884853,0.2880000000000001,0.8036483179250807,0.2880000000000001,0.8412135155684263,0.2880000000000001,0.8734856762869964
0.3060000000000002,6.794298269431245e-05,0.3060000000000002,8.690353357407477e-05,0.3060000000000002,0.0001226210118780765,0.3060000000000002,0.000193404615310238,0.3060000000000002,0.0003372622039872777,0.3060000000000002,0.000632250601133051,0.3060000000000002,0.001241074795505182,0.3060000000000002,0.002485130511580984,0.3060000000000002,0.005019771377749922,0.3060000000000002,0.01018349983710277,0.3060000000000002,0.02091963511016013,0.3060000000000002,0.04522748448656286,0.3060000000000002,0.1084977472630799,0.3060000000000002,0.2071869778187502,0.3060000000000002,0.3151811514405917,0.3060000000000002,0.4261189145664324,0.3060000000000002,0.5369771250955788,0.3060000000000002,0.6447871073600387,0.3060000000000002,0.742272110994179,0.3060000000000002,0.8093771448559107,0.3060000000000002,0.8532028799851464
0.3240000000000002,4.410411179890708e-05,0.3240000000000002,5.355401615647797e-05,0.3240000000000002,7.042034370935005e-05,0.3240000000000002,0.0001027753667239803,0.3240000000000002,0.0001674450636294594,0.3240000000000002,0.0002991785967340145,0.3240000000000002,0.0005689323260956835,0.3240000000000002,0.001122725165259569,0.3240000000000002,0.002247232792059068,0.3240000000000002,0.004516086318370942,0.3240000000000002,0.00907030475517751,0.3240000000000002,0.01828853801717028,0.3240000000000002,0.03796192673716682,0.3240000000000002,0.08734498226331609,0.3240000000000002,0.1796296292819043,0.3240000000000002,0.2858862743499941,0.3240000000000002,0.3966623891603693,0.3240000000000002,0.5084715644301664,0.3240000000000002,0.6185414145466105,0.3240000000000002,0.722431234939099,0.3240000000000002,0.8067102337639717
0.3420000000000002,3.005290612023275e-05,0.3420000000000002,3.511830542610677e-05,0.3420000000000002,4.356445786654953e-05,0.3420000000000002,5.903409746930653e-05,0.3420000000000002,8.914513237775316e-05,0.3420000000000002,0.0001497007846480929,0.3420000000000002,0.0002731644196326305,0.3420000000000002,0.0005254214165365353,0.3420000000000002,0.001040414151510951,0.3420000000000002,0.002079132338067794,0.3420000000000002,0.004154108252559062,0.3420000000000002,0.008258172145477286,0.3420000000000002,0.01635228068777217,0.3420000000000002,0.03283910754494319,0.3420000000000002,0.07082328286460375,0.3420000000000002,0.1530020606998715,0.3420000000000002,0.256423702616899,0.3420000000000002,0.3663733874903596,0.3420000000000002,0.4785441962583792,0.3420000000000002,0.5900864318936446,0.3420000000000002,0.6975239791483558
