/Q_2 (VDDL=0.4) X,/Q_2 (VDDL=0.4) Y,/Q_2 (VDDL=0.425) X,/Q_2 (VDDL=0.425) Y,/Q_2 (VDDL=0.45) X,/Q_2 (VDDL=0.45) Y,/Q_2 (VDDL=0.475) X,/Q_2 (VDDL=0.475) Y,/Q_2 (VDDL=0.5) X,/Q_2 (VDDL=0.5) Y,/Q_2 (VDDL=0.525) X,/Q_2 (VDDL=0.525) Y,/Q_2 (VDDL=0.55) X,/Q_2 (VDDL=0.55) Y,/Q_2 (VDDL=0.575) X,/Q_2 (VDDL=0.575) Y,/Q_2 (VDDL=0.6) X,/Q_2 (VDDL=0.6) Y,/Q_2 (VDDL=0.625) X,/Q_2 (VDDL=0.625) Y,/Q_2 (VDDL=0.65) X,/Q_2 (VDDL=0.65) Y,/Q_2 (VDDL=0.675) X,/Q_2 (VDDL=0.675) Y,/Q_2 (VDDL=0.7) X,/Q_2 (VDDL=0.7) Y,/Q_2 (VDDL=0.725) X,/Q_2 (VDDL=0.725) Y,/Q_2 (VDDL=0.75) X,/Q_2 (VDDL=0.75) Y,/Q_2 (VDDL=0.775) X,/Q_2 (VDDL=0.775) Y,/Q_2 (VDDL=0.8) X,/Q_2 (VDDL=0.8) Y,/Q_2 (VDDL=0.825) X,/Q_2 (VDDL=0.825) Y,/Q_2 (VDDL=0.85) X,/Q_2 (VDDL=0.85) Y,/Q_2 (VDDL=0.875) X,/Q_2 (VDDL=0.875) Y,/Q_2 (VDDL=0.9) X,/Q_2 (VDDL=0.9) Y
0.18,7.976392610972741e-05,0.18,0.0001262081539007332,0.18,0.0002050098247278789,0.18,0.0003393667632920641,0.18,0.0005680006424264225,0.18,0.0009532245939632643,0.18,0.001589744884391402,0.18,0.002609778719150984,0.18,0.004176970096253221,0.18,0.006463516437874594,0.18,0.009616135560346323,0.18,0.01372770521844236,0.18,0.0188261209154616,0.18,0.02487768071570169,0.18,0.03179880824776395,0.18,0.03947413038959394,0.18,0.04777411777049129,0.18,0.05657070448111418,0.18,0.06574621804241261,0.18,0.07519729192133662,0.18,0.08483545979494345
0.1980000000000001,4.966896235037093e-05,0.1980000000000001,7.905541811003215e-05,0.1980000000000001,0.0001292531199275331,0.1980000000000001,0.0002156343634019874,0.1980000000000001,0.0003644779660662477,0.1980000000000001,0.0006195229926989493,0.1980000000000001,0.001050484320413235,0.1980000000000001,0.001761369845364493,0.1980000000000001,0.002893084249092267,0.1980000000000001,0.004612560110514768,0.1980000000000001,0.00708546051564098,0.1980000000000001,0.01044257339900909,0.1980000000000001,0.01475704842184344,0.1980000000000001,0.02003892463298168,0.1980000000000001,0.02624140102648001,0.1980000000000001,0.03327363002063725,0.1980000000000001,0.04101910642812237,0.1980000000000001,0.04935175304693518,0.1980000000000001,0.05814960325643696,0.1980000000000001,0.06730189009345651,0.1980000000000001,0.07671182155816551
0.2160000000000001,3.077184086001884e-05,0.2160000000000001,4.928412417361248e-05,0.2160000000000001,8.108564047370364e-05,0.2160000000000001,0.0001362328562795475,0.2160000000000001,0.0002322446992202049,0.2160000000000001,0.000399065845933271,0.2160000000000001,0.0006862539641321271,0.2160000000000001,0.001171769433996502,0.2160000000000001,0.001969289600960204,0.2160000000000001,0.003227491780403689,0.2160000000000001,0.005114034286365733,0.2160000000000001,0.007784943367274177,0.2160000000000001,0.01135342043596277,0.2160000000000001,0.01587328729371008,0.2160000000000001,0.02133819409628686,0.2160000000000001,0.02768988686161811,0.2160000000000001,0.03483193275676214,0.2160000000000001,0.04264775517071077,0.2160000000000001,0.05101527741045048,0.2160000000000001,0.0598185811981968,0.2160000000000001,0.06895341665054396
0.2340000000000001,1.89400283556035e-05,0.2340000000000001,3.054993059751247e-05,0.2340000000000001,5.059137508581776e-05,0.2340000000000001,8.557388831774173e-05,0.2340000000000001,0.0001470092813920239,0.2340000000000001,0.000254992929825487,0.2340000000000001,0.0004437849930661661,0.2340000000000001,0.0007695953876627422,0.2340000000000001,0.001319375516571755,0.2340000000000001,0.00221648098739585,0.2340000000000001,0.003615844948013801,0.2340000000000001,0.005682849700201173,0.2340000000000001,0.008561016658341919,0.2340000000000001,0.0123450147750059,0.2340000000000001,0.01707023499953056,0.2340000000000001,0.02271553139223014,0.2340000000000001,0.02921275563472563,0.2340000000000001,0.03646188847314026,0.2340000000000001,0.04434685252844658,0.2340000000000001,0.05275014189077829,0.2340000000000001,0.06156177468430164
0.2520000000000001,1.155799163776526e-05,0.2520000000000001,1.880231615076093e-05,0.2520000000000001,3.136341105047177e-05,0.2520000000000001,5.34166460442032e-05,0.2520000000000001,9.243631354584648e-05,0.2520000000000001,0.0001616906092060918,0.2520000000000001,0.0002843386601721825,0.2520000000000001,0.0004996622809070527,0.2520000000000001,0.0008713544614100697,0.2520000000000001,0.001495923016435577,0.2520000000000001,0.00250594299043599,0.2520000000000001,0.00406046618236824,0.2520000000000001,0.00631935118151832,0.2520000000000001,0.00941123234656697,0.2520000000000001,0.01341203158216814,0.2520000000000001,0.01833997346876884,0.2520000000000001,0.02416081448338231,0.2520000000000001,0.03079831300111481,0.2520000000000001,0.0381498977490633,0.2520000000000001,0.04610140250798259,0.2520000000000001,0.05454002346212714
0.2700000000000001,6.975415563131604e-06,0.2700000000000001,1.14677088129892e-05,0.2700000000000001,1.929177700002328e-05,0.2700000000000001,3.31036432599519e-05,0.2700000000000001,5.770594300106667e-05,0.2700000000000001,0.0001017406588764218,0.2700000000000001,0.0001805777317753935,0.2700000000000001,0.0003209834621471167,0.2700000000000001,0.000568007478948643,0.2700000000000001,0.0009936018745006687,0.2700000000000001,0.001704116050263298,0.2700000000000001,0.002840320124258621,0.2700000000000001,0.004562677135911831,0.2700000000000001,0.007022283082265844,0.2700000000000001,0.01033118678615975,0.2700000000000001,0.01454701363706687,0.2700000000000001,0.01967232990538782,0.2700000000000001,0.02566147793649931,0.2700000000000001,0.03243190380322191,0.2700000000000001,0.03987979686159072,0.2700000000000001,0.0478937324268539
0.2880000000000001,4.152407519962401e-06,0.2880000000000001,6.916081434813514e-06,0.2880000000000001,1.17537092175841e-05,0.2880000000000001,2.034126214033072e-05,0.2880000000000001,3.573553639572527e-05,0.2880000000000001,6.34989670048618e-05,0.2880000000000001,0.0001136755117955511,0.2880000000000001,0.000204127916392239,0.2880000000000001,0.0003658232828595296,0.2880000000000001,0.0006503374824295984,0.2880000000000001,0.00113853254151011,0.2880000000000001,0.001946492931106878,0.2880000000000001,0.003221528946924194,0.2880000000000001,0.005122371174752577,0.2880000000000001,0.00778840706499975,0.2880000000000001,0.01131419301129859,0.2880000000000001,0.01574004162092577,0.2880000000000001,0.02105451708063355,0.2880000000000001,0.02720211871469367,0.2880000000000001,0.03409608383067064,0.2880000000000001,0.04163226572850262
0.3060000000000002,2.433004974990853e-06,0.3060000000000002,4.116110148297733e-06,0.3060000000000002,7.080717912218794e-06,0.3060000000000002,1.237573997661126e-05,0.3060000000000002,2.192915571283471e-05,0.3060000000000002,3.928287702906138e-05,0.3060000000000002,7.09127266335084e-05,0.3060000000000002,0.000128532532910189,0.3060000000000002,0.0002329340757138019,0.3060000000000002,0.0004199172071375615,0.3060000000000002,0.0007483141568223391,0.3060000000000002,0.00130833537860612,0.3060000000000002,0.002225193192270938,0.3060000000000002,0.003650446421831269,0.3060000000000002,0.005737731325717001,0.3060000000000002,0.008612338957003977,0.3060000000000002,0.01235121525083444,0.3060000000000002,0.01697871325494574,0.3060000000000002,0.02247106712411785,0.3060000000000002,0.02876489145738686,0.3060000000000002,0.03577039211010106
0.3240000000000002,1.401949110758837e-06,0.3240000000000002,2.414427501671041e-06,0.3240000000000002,4.212273111756284e-06,0.3240000000000002,7.44640993363704e-06,0.3240000000000002,1.332196420747753e-05,0.3240000000000002,2.407153735196291e-05,0.3240000000000002,4.382029405709502e-05,0.3240000000000002,8.013448404221334e-05,0.3240000000000002,0.0001467012648483191,0.3240000000000002,0.0002677200523936052,0.3240000000000002,0.0004844751259166159,0.3240000000000002,0.0008637035545374242,0.3240000000000002,0.001505092872640564,0.3240000000000002,0.002541789538981339,0.3240000000000002,0.004126747971486864,0.3240000000000002,0.006405210918395039,0.3240000000000002,0.00948673612085316,0.3240000000000002,0.01343122026405657,0.3240000000000002,0.01824860204974198,0.3240000000000002,0.02390439238385693,0.3240000000000002,0.03032939303062039
0.3420000000000002,7.953647743192395e-07,0.3420000000000002,1.396018431011283e-06,0.3420000000000002,2.473645340494798e-06,0.3420000000000002,4.428722299988661e-06,0.3420000000000002,8.007843887296205e-06,0.3420000000000002,1.46047552387592e-05,0.3420000000000002,2.681834048182584e-05,0.3420000000000002,4.947119871751166e-05,0.3420000000000002,9.142338952300262e-05,0.3420000000000002,0.0001686762308682304,0.3420000000000002,0.0003093526851521527,0.3420000000000002,0.0005608676003897442,0.3420000000000002,0.0009983659432108273,0.3420000000000002,0.001730734595817963,0.3420000000000002,0.002897235935992995,0.3420000000000002,0.004648973573417879,0.3420000000000002,0.007119860090252117,0.3420000000000002,0.01040291268892656,0.3420000000000002,0.01454203233925138,0.3420000000000002,0.01953436498390156,0.3420000000000002,0.02533643648938428
