/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:tt) X,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:tt) Y,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:ss) X,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:ss) Y,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:sf) X,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:sf) Y,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:fs) X,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:fs) Y,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:ff) X,/QB (modelFiles=hlmc_55lp_v1p9_spe.lib:ff) Y
0.5520000000000002,0.1822192481817482,0.5520000000000002,0.2809986995014811,0.5520000000000002,1.035629547364438,0.5520000000000002,0.02743940856400734,0.5520000000000002,0.1531386503677214
0.5760000000000002,0.1015538329381245,0.5760000000000002,0.09392327403084251,0.5760000000000002,0.9095821329077066,0.5760000000000002,0.0194486699967739,0.5760000000000002,0.1144561702643423
0.6000000000000002,0.06671459108568421,0.6000000000000002,0.04588570515891036,0.6000000000000002,0.6817414438937932,0.6000000000000002,0.01364918238204157,0.6000000000000002,0.08945299317126211
0.6240000000000002,0.04644655327734495,0.6240000000000002,0.02554336275787628,0.6240000000000002,0.4151626584802041,0.6240000000000002,0.009393258027811829,0.6240000000000002,0.07138308906823394
0.6480000000000002,0.03297446975649686,0.6480000000000002,0.01461945527283021,0.6480000000000002,0.2032502791082118,0.6480000000000002,0.006281873187301191,0.6480000000000002,0.05745780208734848
0.6720000000000003,0.02347128772085532,0.6720000000000003,0.008293058897282143,0.6720000000000003,0.1173296959829424,0.6720000000000003,0.004048075303038333,0.6720000000000003,0.04631940171972158
0.6960000000000003,0.01652770230058642,0.6960000000000003,0.004575290750833276,0.6960000000000003,0.0787182713391987,0.6960000000000003,0.002496508007675963,0.6960000000000003,0.03718568390183617
0.7200000000000003,0.01139894301756875,0.7200000000000003,0.002440232308553379,0.7200000000000003,0.0557165026115474,0.7200000000000003,0.001469205394252115,0.7200000000000003,0.02959213028572735
0.7440000000000003,0.007628205610315354,0.7440000000000003,0.001258888005228788,0.7440000000000003,0.04011693125659284,0.7440000000000003,0.0008280303493554274,0.7440000000000003,0.02323884840064793
0.7680000000000003,0.004909875564884481,0.7680000000000003,0.0006332494060284869,0.7680000000000003,0.02890530875368778,0.7680000000000003,0.000451717500449303,0.7680000000000003,0.0179231090996632
0.7920000000000004,0.003018195736793074,0.7920000000000004,0.0003135642873264261,0.7920000000000004,0.02057065583655052,0.7920000000000004,0.0002423016170674128,0.7920000000000004,0.0135023219080269
0.8160000000000004,0.001766580086524664,0.8160000000000004,0.0001539868010515441,0.8160000000000004,0.01431287789503757,0.8160000000000004,0.0001301779713242998,0.8160000000000004,0.0098721858444241
0.8400000000000004,0.0009876289001246972,0.8400000000000004,7.535764412028497e-05,0.8400000000000004,0.00964102070099963,0.8400000000000004,7.159198631103886e-05,0.8400000000000004,0.006952553021952553
0.8640000000000004,0.000532181663192605,0.8640000000000004,3.686197636307771e-05,0.8640000000000004,0.006226281293189196,0.8640000000000004,4.139664284333602e-05,0.8640000000000004,0.004676622374707803
0.8880000000000005,0.0002796361117855138,0.8880000000000005,1.806665147351217e-05,0.8880000000000005,0.003823374068946922,0.8880000000000005,2.592684741426509e-05,0.8880000000000005,0.002980359728892992
